t,absZ,N
20251208202512087.7833056643026815072673784282942556489448548973086872138082981109619140625,8.333303669885500065334649408962370014538853973687449213876755324751817620324193781495831882810687574e-13,410111433661492866115270505114907.9480991363525390625
20251208202512088.0834951381159195269642149997272630168598794853096478618681430816650390625,3.446320697557991445972800944284154189437444318845916431531169366485761964746157665030398820071866339e-12,410111433661492878265995426622160.62808990478515625
20251208202512088.17652572328207821789285606015225404963331357066635973751544952392578125,6.351155622069057659977847353852210010285774931131678889314742829686776772757854285632198119287972204e-12,410111433661492881809956862061776.04558563232421875
20251208202512088.3662022665346989361585029550583310353761845590270240791141986846923828125,0.6456097718533350304631840608942843796468657423338640777387207092814994537530007220904344072964775592,410111433661492889910440143066611.3205776214599609375
20251208202512088.5465240743288567982947098898766948027461154424599953927099704742431640625,1.988251403002537103043381949305157903289735074460357642248496036953352747190035311068484133456557572e-12,410111433661492896998363013945842.2562103271484375
20251208202512088.9040128466654121299542605865958745658961248636842356063425540924072265625,2.767402361430555837169540640075997150641802940406208351963033910945787427901358833757649181156468288e-12,410111433661492911174208755704304.2499370574951171875
20251208202512089.0838074214380725858338151389712901428996616459698998369276523590087890625,1.865376331049722850604571322821121492502589468396555936181495332617295261306411810055629930948928319e-12,410111433661492918768411831646337.59212493896484375
20251208202512089.2096827495225201165195427438036994416403757668376783840358257293701171875,1.922046352167701300969670436077430396227538412558565794021054053578706252927629932961551932624200134e-13,410111433661492923831213882274359.8671321868896484375
20251208202512089.433911622578484274906505645534766923976377483995747752487659454345703125,1.150361285060663195523011295003373130391646950082311254554038754303397912483959219914471470286310151e-12,410111433661492932944257573404800.018383026123046875
20251208202512089.622278327406384815721992714138664781753362831295817159116268157958984375,4.528799569607026357206836459109818185862160964072768984941041117473948606111476679061619583094300268e-12,410111433661492940538460649346833.5621337890625
20251208202512089.805011658561398080177971578832475663123346976135508157312870025634765625,1.652676495745121978435784481449109369410491829959380637987523002943891217971513542656341721331925143e-12,410111433661492947626383520226064.9352703094482421875
20251208202512089.934488138737584047666501378746721495627269860051455907523632049560546875,1.372488207301405518861127528943009202980125665748260748238120821965733138366529646670470034275357563e-12,410111433661492953195465775916889.633701324462890625
20251208202512090.034290216885299406739288645049566761624504351857467554509639739990234375,5.264433200595204587011908395916671069067058129936683128120097278155568362829594723176912518525227824e-12,410111433661492957245707416419307.6237087249755859375
20251208202512090.211573389467716317150702834350324554879563265785691328346729278564453125,1.614319426222848575120167267774706399837126727328597560504291891473888039611657695013248112192449923e-14,410111433661492964333630287298539.1411991119384765625
20251208202512090.3412136716323905665366682425578177817460101550750550813972949981689453125,4.477119178837293042607972372315266410093016471871977161232511154031438914236093532718493114008762035e-13,410111433661492969396432337926561.69744873046875
20251208202512090.6962977334653009881998666683565468726868630255921743810176849365234375,0.06483311052466701867882764468540103768626841601559919808826650771827522008616492904872893529577559946,410111433661492983572278079685024.942474365234375
