t,absZ,spacing
77887788778877.02022774881719218841753663874262907374028891458963935740251807842937783483599496590346,2.354147708701817365314925727875557385759160549937597799185972747361329506003352103226630410679005386e-24,0
77887788778877.24967967996242482419269092996979534477347699960917054022603114019436736846532340073207,2.450684871237696938991181888851577026703436783083961941780596692473129022459210803719627361603226441e-24,0.2294519311452326357751542912271662710331880850195311828235130617649895336293284348286101864640440911
77887788778877.39583945243806008742373021707779587419895208061106303839887337083965047174419660760321,5.308393346332568067695522884773295908456939099888315467136486478772426607233164953025065077661491742e-25,0.146159772475635263231039287108000529425475081001892498172842230645283103278873206871144906498366464
77887788778877.46422948780304614717351444880284212547910943271978454442233362514466430375590712158365,2.923996681008514729295596038586970425105858711337006744559059570892119443013608800576792809670804673e-24,0.06839003536498605974978423172504625128015735210872150602346025430501383201171051398043202410952854081
77887788778877.65271317415888335971186016998162813929737868427780760204040916752423914941761441957786,4.717155786516297782501682842723311232977675280635786018444938551634443152321817636186799504570382827e-24,0.1884836863558372125383457211787860138182692515580230576180755423795748456617072979942123546206245068
77887788778877.91298464032275919999999999999999999999999999999999999999999999993442878707387321430754,2.016834747420820417039401720398691288790803310252316630942533151948284285933927389558761666981845308e-17,0.260271466163875840288139830018371860702621315722192397959590832410189637656258794729686669617121835
77887788778878.26126506586418626021650440724881093682872690849890081961308709479509531567773831948245,8.133376398346767035170877455105538376102423474943192061338092806377800224285040558167468819933459416e-24,0.3482804255414270602165044072488109368287269084989008196130870948606665286038651051749080795311548991
77887788778878.39067081962227890185476285167185754025299174542152428470861247664025214643339967560791,1.162542118573325251821752018545915137551557606842482869374745724872378154473416958250626182123688642e-26,0.1294057537580926416382584444230466034242648369226234650955253818451568307556613561254544659684785307
77887788778878.5408184172663888210849326677030723102974335132064236971552461634987328986127318252674,2.350548673871844735565422907003279271884840589821786280594458583867978074491212160005974651570256142e-24,0.1501475976441099192301698160312147700444417677848994124466336868584807521793321496594908937159807882
77887788778878.83499760244446583520474349016951679997296389644329238843790628608378804914078881201172,2.828966174130663679826357522521856626617317402861589100999748155458335564017308995265611048718262474e-24,0.2941791851780770141198108224664444896755303832368686912826601225850551505280569867443243205026909859
